Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kari1254,Dzubukua,Karirí,GB409_1,Is there an overt marker for the absolutive?,"De Queiroz, 2012, p. 337-341",0,
kari1254,Dzubukua,Karirí,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"De Queiroz, 2012, p. 343",1,
kari1254,Dzubukua,Karirí,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"De Queiroz, 2012, p. 339",1,marca -na
kari1254,Dzubukua,Karirí,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"De Queiroz, 2012, p. 341",1,
kari1254,Dzubukua,Karirí,GB409_5,Is there ergative alignment of flagging on full NPs?,"De Queiroz, 2012, p. 196",1,
kari1254,Dzubukua,Karirí,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
kari1254,Dzubukua,Karirí,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"De Queiroz, 2012, p. 339",1,
kari1254,Dzubukua,Karirí,GB409_8,Is there ergative alignment of flagging in the past tense?,"De Queiroz, 2012, p. 340",1,
kari1254,Dzubukua,Karirí,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"De Queiroz, 2012, p. 336",0,
kari1254,Dzubukua,Karirí,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"De Queiroz, 2012, p. 339",1,
kari1254,Dzubukua,Karirí,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,,
kari1254,Dzubukua,Karirí,GB409_12,Is there ergative alignment of flagging in the realis status?,"De Queiroz, 2012, p. 341",1,
kari1254,Dzubukua,Karirí,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
kari1254,Dzubukua,Karirí,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"De Queiroz, 2012, p. 339",1,
kari1254,Dzubukua,Karirí,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"De Queiroz, 2012, p. 337-341",0,
kari1254,Dzubukua,Karirí,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"De Queiroz, 2012, p. 339",1,
kari1254,Dzubukua,Karirí,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"De Queiroz, 2012, p. 337-341",0,
kari1254,Dzubukua,Karirí,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"De Queiroz, 2012, p. 337-341",1,
kari1254,Dzubukua,Karirí,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
kari1254,Dzubukua,Karirí,GB409_20,Is there ergative alignment of flagging in main clauses?,"De Queiroz, 2012, p. 341",1,
kari1254,Dzubukua,Karirí,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
kari1254,Dzubukua,Karirí,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"De Queiroz, 2012, p. 380",?,"""A diferencia del nominativo-acusativo, el ergativo-absolutivo ocurre en cláusulas causativas, con sujeto libre en imperativos afirmativos, está presente en construcciones reflexivas de predicados existenciales y en construcciones reflexivas y recíprocas de predicados intransitivos""."
kari1254,Dzubukua,Karirí,GB409_23,Are the ergative and the genitive expressed by the same marker?,"De Queiroz, 2012, p. 338",0,
kari1254,Dzubukua,Karirí,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"De Queiroz, 2012, p. 228",1,
