Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
east2343,Yohlmo,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Hari 2010:40,"See examples (21), (22)",,,0
east2343,Yohlmo,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Hari 2010:48,See example (58),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,Hari 2010:in passim,Not enough information or examples.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2343,Yohlmo,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Hari 2010:46,See example (49),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Hari 2010:41,See example (25),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Hari 2010:46,See example (49),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Hari 2010:41,See example (25),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Hari 2010:41,See example (26),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Hari 2010:78,See example (12),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Hari 2010:41,See example (25),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Hari 2010:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2343,Yohlmo,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Hari 2010:41,See example (25),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Hari 2010:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2343,Yohlmo,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Hari 2010:41,See example (25),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Hari 2010:29,See example (11),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Hari 2010:in passim,There is no mention nor evidence of a split based on topicality,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2343,Yohlmo,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Hari 2010:in passim,There is no mention nor evidence of a split based on topicality,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2343,Yohlmo,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Hari 2010:24,See example (4),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Hari 2010:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
east2343,Yohlmo,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Hari 2010:29,See example (11),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Hari 2010:86,See example (26),,,1
east2343,Yohlmo,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Hari 2010:in passim,,,,0
east2343,Yohlmo,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Hari 2010:25,,,,1
east2343,Yohlmo,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Hari 2010:25,,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
