Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
kari1254,Dzubukua,Karirí,GB409_1,"De Queiroz, 2012, p. 337-341",0,,,,0
kari1254,Dzubukua,Karirí,GB409_2,"De Queiroz, 2012, p. 343",1,,,,1
kari1254,Dzubukua,Karirí,GB409_3,"De Queiroz, 2012, p. 339",1,marca -na,,,1
kari1254,Dzubukua,Karirí,GB409_4,"De Queiroz, 2012, p. 341",1,,,,1
kari1254,Dzubukua,Karirí,GB409_5,"De Queiroz, 2012, p. 196",1,,,,1
kari1254,Dzubukua,Karirí,GB409_6,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kari1254,Dzubukua,Karirí,GB409_7,"De Queiroz, 2012, p. 339",1,,,,1
kari1254,Dzubukua,Karirí,GB409_8,"De Queiroz, 2012, p. 340",1,,,,1
kari1254,Dzubukua,Karirí,GB409_9,"De Queiroz, 2012, p. 336",0,,,,0
kari1254,Dzubukua,Karirí,GB409_10,"De Queiroz, 2012, p. 339",1,,,,1
kari1254,Dzubukua,Karirí,GB409_11,,,,,,
kari1254,Dzubukua,Karirí,GB409_12,"De Queiroz, 2012, p. 341",1,,,,1
kari1254,Dzubukua,Karirí,GB409_13,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kari1254,Dzubukua,Karirí,GB409_14,"De Queiroz, 2012, p. 339",1,,,,1
kari1254,Dzubukua,Karirí,GB409_15,"De Queiroz, 2012, p. 337-341",0,,,,0
kari1254,Dzubukua,Karirí,GB409_16,"De Queiroz, 2012, p. 339",1,,,,1
kari1254,Dzubukua,Karirí,GB409_17,"De Queiroz, 2012, p. 337-341",0,,,,0
kari1254,Dzubukua,Karirí,GB409_18,"De Queiroz, 2012, p. 337-341",1,,,,1
kari1254,Dzubukua,Karirí,GB409_19,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kari1254,Dzubukua,Karirí,GB409_20,"De Queiroz, 2012, p. 341",1,,,,1
kari1254,Dzubukua,Karirí,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kari1254,Dzubukua,Karirí,GB409_22,"De Queiroz, 2012, p. 380",?,"""A diferencia del nominativo-acusativo, el ergativo-absolutivo ocurre en cláusulas causativas, con sujeto libre en imperativos afirmativos, está presente en construcciones reflexivas de predicados existenciales y en construcciones reflexivas y recíprocas de predicados intransitivos"".",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
kari1254,Dzubukua,Karirí,GB409_23,"De Queiroz, 2012, p. 338",0,,,,0
kari1254,Dzubukua,Karirí,GB409_24,"De Queiroz, 2012, p. 228",1,,,,1
